Title,Price,Rating,Image
"Apple 2023 MacBook Pro (16-inch, M3 Max chip with 16‑core CPU and 40‑core GPU, 48GB Unified Memory, 1TB) - Space Black","₹3,69,990",2.0 out of 5 stars,https://m.media-amazon.com/images/I/618d5bS2lUL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/1Yr Warranty + 1 Yr ADP/Grey/1.6Kg), 82R400BGIN","₹35,990",4.1 out of 5 stars,https://m.media-amazon.com/images/I/71bDJ9wxxWL._AC_SX148_SY213_QL70_.jpg
"Dell Inspiron 7420 2in1 Laptop, Intel Core i7-1255U Processor/16GB/512GB/14.0"" (35.56cm) FHD+ WVA Touch 250 nits, Active Pen/Win 11 + MSO'21, 15 Month McAfee/Backlit KB + FPR/Platinum Silver","₹69,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/61Pb4vDP8VL._AC_SX148_SY213_QL70_.jpg
"HP Laptop 15s, 12th Gen Intel Core i3, 15.6-inch (39.6 cm), 8GB DDR4, 512GB SSD, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU / FQ5327TU","₹35,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71+3jMMlz4L._AC_SX148_SY213_QL70_.jpg
"ASUS VivoBook 15 (2021), 15.6-inch (39.62 cm) HD, Dual Core Intel Celeron N4020, Thin and Light Laptop (4GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Transparent Silver/1.8 Kg), X515MA-BR011W","₹19,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71lYhcc++AL._AC_SX148_SY213_QL70_.jpg
"HP Laptop 15s, 12th Gen Intel Core i5-1235U, 15.6-inch (39.6 cm), FHD, 16GB DDR4, 512GB SSD, Intel Iris Xe Graphics, Backlit KB,MSO,Thin & Light, Dual Speakers (Win 11, Silver, 1.69 kg), fq5330TU","₹50,390",4.0 out of 5 stars,https://m.media-amazon.com/images/I/71Mqz7eCgtL._AC_SX148_SY213_QL70_.jpg
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","₹33,990",3.8 out of 5 stars,https://m.media-amazon.com/images/I/61GEizrmU9L._AC_SX148_SY213_QL70_.jpg
"MSI Modern 14, Intel 12th Gen. i7-1255U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12M-459IN","₹47,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61yN+3Z7WtL._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.32Kg), 82K20289IN","₹44,490",4.0 out of 5 stars,https://m.media-amazon.com/images/I/81rSur88g3L._AC_SX148_SY213_QL70_.jpg
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 7535HS 15.6"" (39.62cm) FHD IPS 120Hz Gaming Laptop (16GB/512GB SSD/Win 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82SB00NXIN","₹55,490",4.1 out of 5 stars,https://m.media-amazon.com/images/I/81uF+eal5gL._AC_SX148_SY213_QL70_.jpg
"ASUS Vivobook Go 14 (2023), 14"" (35.56 cm) FHD (1920 x 1080) 16:9, Intel Celeron N4500, Thin and Light Laptop (8GB RAM/256GB SSD/Integrated Graphics/Windows 11 Home/Black/1.3 Kg), E410KA-EK013W","₹22,990",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71mQMASiF7L._AC_SX148_SY213_QL70_.jpg
"TECNO MEGABOOK T1,Intel Core 11th Gen i3 Processor (8GB RAM/512GB SSD Storage), 15.6-Inch(39.62 CM) Eye Comfort disply, (14.8mm Ultra Slim/70 Wh Large Battery/Windows 11/ Moonshine Silver / 1.56 Kg)","₹23,990",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61zAPJOwK8L._AC_SX148_SY213_QL70_.jpg
"ZEBRONICS Laptop PRO Series Y NBC 2S, Intel Core 11th Gen i5 Processor (16GB RAM | 512GB SSD), 15.6-Inch (39.6 CM) IPS Display, (Ultra Slim | 38.5 Wh Large Battery | Windows 11 | Sage Green | 1.65 Kg)","₹25,990",3.5 out of 5 stars,https://m.media-amazon.com/images/I/713u+ON+iiL._AC_SX148_SY213_QL70_.jpg
"Samsung Galaxy Book2 (NP750) Intel 12th Gen core i5 39.6cm (15.6"") FHD Thin & Light Laptop (8 GB/512 GB/Windows 11/MS Office/Backlit Keyboard/Finger Print Reader/Silver/1.55Kg), NP750XED-KC1IN","₹49,990",4.2 out of 5 stars,https://m.media-amazon.com/images/I/71VETao+NEL._AC_SX148_SY213_QL70_.jpg
