Title,Price,Rating,Image
"HP Smart Tank 530 All-in-one WiFi Colour Printer with ADF (Upto 18000 Black and 8000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","₹18,900",3.9 out of 5 stars,https://m.media-amazon.com/images/I/71Td-My5f-L._AC_UY218_.jpg
"HP Smart Tank 585 All-in-one WiFi Colour Printer (Upto 6000 Black and 6000 Colour Pages Included in The Box). - Print, Scan & Copy for Office/Home","₹13,999",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61D+97Gq6aL._AC_UY218_.jpg
"Canon PIXMA E477 All in One (Print, Scan, Copy) WiFi Ink Efficient Colour Printer for Home/Student","₹5,499",3.9 out of 5 stars,https://m.media-amazon.com/images/I/51klz5w3beL._AC_UY218_.jpg
"HP Deskjet 2331 Colour Printer, Scanner and Copier for Home/Small Office, Compact Size, Reliable, Easy Set-Up Through HP Smart App On Your Pc Connected Through USB, Ideal for Home.","₹3,599",3.5 out of 5 stars,https://m.media-amazon.com/images/I/61geKj+Tv9L._AC_UY218_.jpg
"HP Deskjet 2820 Printer, Copy, Scan, WiFi with self Reset, Bluetooth, USB, Simple Setup Smart App, Ideal for Home.","₹4,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/61oVMkLlMUL._AC_UY218_.jpg
"HP Ink Advantage Ultra 4929 Print, Copy, Scan, Self Reset WiFi, Smart App Setup, Print per Page Cost Starting at 44paise/Page with 2 Additional Sets of Inks, Ideal for Home","₹7,799",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61NmsHpYgrL._AC_UY218_.jpg
Canon Pixma MG2577s All-in-One Inkjet Colour Printer (Blue/White),"₹3,249",3.4 out of 5 stars,https://m.media-amazon.com/images/I/51TgRks3kIL._AC_UY218_.jpg
Everycom EC-58 58mm (2 Inches) Direct Thermal Printer- Monochrome Desktop (1 Year Warranty) (USB),"₹1,789",4.3 out of 5 stars,https://m.media-amazon.com/images/I/613-jTtBmhL._AC_UY218_.jpg
Canon Pixma TS207 Single Function Inkjet Printer (Black),N/A,3.6 out of 5 stars,https://m.media-amazon.com/images/I/71Tl763J68L._AC_UY218_.jpg
"HP Ink Advantage 4278 Printer, Automatic Document Feeder (ADF), Print, Copy, Scan,WiFi,Bluetooth, USB, Simple Setup Smart App, Ideal for Home.","₹6,999",3.6 out of 5 stars,https://m.media-amazon.com/images/I/41CFkPk919L._AC_UY218_.jpg
"Brother DCP-T525W (Print Scan Copy) WiFi Ink Tank Printer, 128 MB Memory, Print Up to 15K Pages in Black and 5K in Color Each for (CMY), Get an Extra Black Ink Bottle, Free Installation","₹15,299",4.2 out of 5 stars,https://m.media-amazon.com/images/I/51NeYRxJ9PL._AC_UY218_.jpg
"HP Smart Tank 580 AIO WiFi Colour Printer with 1 Extra Black Ink Bottle (Upto 12000 Black & 6000 Colour Prints) + 1 Year Extended Warranty with PHA Coverage -Print, Scan & Copy","₹14,619",4.0 out of 5 stars,https://m.media-amazon.com/images/I/61oj0MdwWSL._AC_UY218_.jpg
Epson EcoTank L130 Single Function InkTank Printer,"₹8,899",4.1 out of 5 stars,https://m.media-amazon.com/images/I/714bxKZ5NHL._AC_UY218_.jpg
"Canon PIXMA MegaTank G2012 All in One (Print, Scan, Copy) Inktank Colour Printer with 2 Additional Black Ink Bottles (Per Black Bottle Yield 6000 Prints and Colour 7000 Prints) for Home/Office","₹10,999",4.3 out of 5 stars,https://m.media-amazon.com/images/I/61D1H3so71L._AC_UY218_.jpg
"Canon PIXMA MegaTank G3770 Red All-in-one (Print, Scan, Copy) WiFi Inktank Colour Printer (Black 6000 Prints & Colour 7700 Prints) for Office,Scan The QR Code & Get a JBL Speaker Free on Registration","₹13,499",3.8 out of 5 stars,https://m.media-amazon.com/images/I/71aa2oZ4aAL._AC_UY218_.jpg
